
BSSID, First time seen, Last time seen, channel, Speed, Privacy, Cipher, Authentication, Power, # beacons, # IV, LAN IP, ID-length, ESSID, Key
74:DA:88:49:30:F7, 2026-08-08 20:29:41, 2026-08-08 20:29:50, 10, 270, WPA2, CCMP, PSK, -72,        7,        0,   0.  0.  0.  0,  12, AKM AL MAMUN, 
CC:BA:BD:66:D0:7A, 2026-08-08 20:29:41, 2026-08-08 20:29:50, 10, 130, WPA2, CCMP, PSK, -79,        8,        0,   0.  0.  0.  0,   7, Wakanda, 
EE:48:B8:A9:0A:1E, 2026-08-08 20:29:41, 2026-08-08 20:29:48,  1, 360, WPA2, CCMP, PSK, -72,        7,        0,   0.  0.  0.  0,   0, , 
58:D9:D5:29:C4:11, 2026-08-08 20:29:41, 2026-08-08 20:29:48,  1, 130, WPA2 WPA, CCMP, PSK, -80,        4,        2,   0.  0.  0.  0,  14, Atikur Rahman , 
E8:48:B8:A9:0A:1E, 2026-08-08 20:29:41, 2026-08-08 20:29:48,  1, 360, WPA2, CCMP, PSK, -72,        8,        0,   0.  0.  0.  0,   9, Amir_wifi, 
2E:F6:22:A4:61:52, 2026-08-08 20:29:41, 2026-08-08 20:29:49,  1,  65, WPA2, CCMP, PSK, -38,        9,        0,   0.  0.  0.  0,   9, vivo Y12A, 
7C:F1:7E:E6:7E:0C, 2026-08-08 20:29:41, 2026-08-08 20:29:48,  1, 130, WPA2, CCMP, PSK, -75,        7,        0,   0.  0.  0.  0,   4, Asma, 
CC:2D:21:9B:DE:E8, 2026-08-08 20:29:41, 2026-08-08 20:29:48,  1, 130, WPA2, CCMP, PSK, -75,        6,        0,   0.  0.  0.  0,   5, Tayem, 
5E:E9:31:C1:F1:1E, 2026-08-08 20:29:41, 2026-08-08 20:29:48,  1, 130, WPA2, CCMP, PSK, -78,        4,        0,   0.  0.  0.  0,   0, , 
9A:4A:6B:D4:D1:D2, 2026-08-08 20:29:41, 2026-08-08 20:29:41,  1, 360, WPA2, CCMP, PSK, -80,        1,        0,   0.  0.  0.  0,   0, , 
98:03:8E:14:A9:AD, 2026-08-08 20:29:41, 2026-08-08 20:29:48,  7, 360, WPA2, CCMP, PSK, -75,        8,        0,   0.  0.  0.  0,  10, Piyal WiFi, 
80:9F:E4:5F:D9:10, 2026-08-08 20:29:41, 2026-08-08 20:29:48,  7, 130, WPA2, CCMP, PSK, -82,        6,        0,   0.  0.  0.  0,  12, sherpur team, 
60:E3:27:B7:45:A2, 2026-08-08 20:29:41, 2026-08-08 20:29:48,  7, 405, WPA2 WPA, CCMP, PSK, -80,        4,        0,   0.  0.  0.  0,   7, RAFISHA, 
08:40:F3:A2:12:40, 2026-08-08 20:29:41, 2026-08-08 20:29:47,  6, 130, WPA2, CCMP, PSK, -61,        6,        0,   0.  0.  0.  0,   6, Tahera, 
9A:03:8E:24:A9:AD, 2026-08-08 20:29:41, 2026-08-08 20:29:48,  7, 360, WPA2, CCMP, PSK, -73,        8,        0,   0.  0.  0.  0,   0, , 
AC:1C:26:E1:02:76, 2026-08-08 20:29:41, 2026-08-08 20:29:48, 13, 130, WPA2, CCMP, PSK, -43,       11,        0,   0.  0.  0.  0,  18, ezviz_AC1C26E10275, 
E0:1C:FC:E8:08:A2, 2026-08-08 20:29:41, 2026-08-08 20:29:49, 13, 270, WPA2, CCMP, PSK, -74,        8,        2,   0.  0.  0.  0,   9, Channel I, 
60:A4:B7:71:F3:23, 2026-08-08 20:29:41, 2026-08-08 20:29:49,  2, 130, WPA2, CCMP, PSK, -77,        7,        0,   0.  0.  0.  0,   4, Wadi, 
7C:F1:7E:E8:86:4C, 2026-08-08 20:29:41, 2026-08-08 20:29:49,  2, 270, WPA2, CCMP, PSK, -73,        5,        0,   0.  0.  0.  0,   4, Roni, 
B0:0A:D5:3E:D7:68, 2026-08-08 20:29:41, 2026-08-08 20:29:49,  2, 270, WPA2, CCMP, PSK, -76,        6,       45,   0.  0.  0.  0,  10, Hinaya Car, 
CC:2D:21:1D:E8:E0, 2026-08-08 20:29:42, 2026-08-08 20:29:49,  8, 270, WPA2, CCMP, PSK, -85,        3,        0,   0.  0.  0.  0,   6, Alisha, 
